観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,わくわく公園公衆トイレ,湯浅町,湯浅町青木460,終日,,,水洗式,,,,,,1,,,,,○,○,レバー式,○,引き戸式,2.0×2.4,前方・右から,,,,手動式,,,,,,,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
203,方津戸グランド公衆トイレ,湯浅町,湯浅町栖原126,終日,,,水洗式,,,,,,1,,,,,○,○,レバー式,○,引き戸式,2.0×2.4,前方・右から,,,,手動式,,,,,,,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
204,駅前多目的広場,湯浅町,湯浅町湯浅1077-6,"9:00
17:00",12,1,水洗式,,2,2,,2,1,,,,1,○,○,手動式,○,引き戸式,2.3×2.4,前方から,○,,,手動式,,,,,,,熊野古道、重伝建地区,,,,,,,,,,,,,前方・右・左から,
205,山本風車公衆トイレ,広川町,広川町大字山本1959番地2,終日,,,水洗式,1,1,3,1,3,,,,,,,,,,,,,,,,手動式,,,,,,,山本風車及び前方16基の風車全景,風車全高約100ｍ、タワー高約65ｍの風車及び前方に16基の風車全景,,,,,,,,,,,,,
206,白木公衆トイレ,広川町,広川町大字山本1682番地13,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,西有田県立自然公園海岸,西有田県立自然公園内の海岸あり,,,,,,,,,,,,,
207,小浦公衆トイレ,広川町,広川町大字山本1897番地,終日,,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,西有田県立自然公園海岸,西有田県立自然公園内の海岸あり,,,,,,,,,,,,,
208,小浦奥公衆トイレ,広川町,広川町大字山本1845番地15,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,"西有田県立自然公園海岸内
海洋生物等観察スポット",西有田県立自然公園内の海岸で礁が広がっており、海洋生物等の観察にはよいスポットである,,,,,,,,,,,,,
209,柄杓井公衆トイレ,広川町,広川町大字西広1432番地1,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,レバー式,,,,,,,西有田県立自然公園海岸,西有田県立自然公園内の海岸あり,,,,,,,,,,,,,
210,樫長公衆トイレ,広川町,広川町大字西広1317番地4,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,西有田県立自然公園海岸,西有田県立自然公園内の海岸あり,,,,,,,,,,,,,
211,西広ふれあいの森公衆トイレ,広川町,広川町大字西広1番地7,終日,,,水洗式,,2,3,,4,,,,,,,,,,,,,,,,レバー式,,,,,,,西有田県立自然公園内海岸,西有田県立自然公園内にあって、遠浅の砂浜で、小さい子供が安心して海水浴が楽しめます。また、沈む夕陽は和歌山県朝日夕陽にも選ばれている。,,,,,,,,,,,,,
212,唐尾漁協公衆トイレ,広川町,広川町大字唐尾1147番地6,終日,,,水洗式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,唐尾漁港,漁港に面しており、シーズンには釣り客で賑わう,,,,,,,,,,,,,
213,霊巖寺公衆トイレ,広川町,広川町大字前田501番地1,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,霊巖寺,海抜420ｍあり、前方の明神山に連なる風車や、眼下には市街地や海岸線が見渡せる。また、鳥獣楽園にあっており、野生の猿の一群が時々姿を現す。,,,,,,,,,,,,,
214,広川ダム下公衆トイレ,広川町,広川町大字下津木1619番地先,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,広川ダム,3月下旬から4月上旬にかけて、周辺をソメイヨシノ桜が美しく咲きます。,,,,,,,,,,,,,
215,岩淵公衆トイレ,広川町,広川町大字下津木1776番地5,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,広川ダム,3月下旬から4月上旬にかけて、周辺をソメイヨシノ桜が美しく咲きます。,,,,,,,,,,,,,
216,広川ダム公園公衆トイレ,広川町,広川町大字下津木1756番地1,終日,10,,水洗式,,,1,,,,1,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・左から,○,,,手動式,○,,,,,,広川ダム,3月下旬から4月上旬にかけて、周辺をソメイヨシノ桜が美しく咲きます。,,,,,,,,,,,,,
217,熊野古道公衆トイレ,広川町,広川町大字河瀬１７２番地,終日,7,,水洗式,,,1,,,,1,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・右から,○,,,光感知式,,,,,,,熊野古道紀伊路鹿ヶ瀬峠,鹿ヶ瀬峠のふもとに位置し、シーズンには峠越えのハイキングで賑わう。,,,,,,,,,,,,,
218,田口砂防公園公衆トイレ,有田川町,有田川町田口1011,終日,10,1,水洗式,,,2,,,1,1,,,,○,○,レバー式,○,引き戸式,2.0×2.0,前方から,,,,光感知式,,,,,,,田口砂防公園、千葉フルーツパーク　　　　　　　,ブドウ狩りや栗拾いが楽しめる（8月下旬～10月下旬）,,,,,,,,,,,,,
219,千葉の森公園公衆トイレ,有田川町,有田川町大賀畑,終日,30,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,千葉の森公園、千葉フルーツパーク,ブドウ狩りや栗拾いが楽しめる（8月下旬～11月下旬）,,,,,,,,,,,,,
220,鷲ヶ峰コスモスパ－ク公衆トイレ,有田川町,有田川町長谷611,終日,30,,汲み取り式,,,4,,,,3,,,,,,,,,,,,,,手動式,,,,,,,鷲ヶ峰コスモスパ－ク,,,,,,,,,,,,,,
221,鷲ヶ峰コスモスパ－ク「風の館」公衆トイレ,有田川町,有田川町長谷611,"10：00
17：00",30,1,水洗式,,1,2,,2,1,,,,,○,○,レバー式,○,引き戸式,2.5×2.5,前方・右から,,,,レバー式,,,,,,,鷲ヶ峰コスモスパ－ク,,,,,,,,,,,,,,
222,"ＪＲ藤並駅公衆トイレ
（西口側）",有田川町,有田川町明王寺34-7,"7：00
20：00",,1,水洗式,,,,,,1,1,,,,○,○,レバー式,○,引き戸式,2.1×1.8,前方・左から,,,,レバー式,,,,,,○,,,,,,,,,,,,,,,
223,"ＪＲ藤並駅公衆トイレ
（東口側）",有田川町,有田川町明王寺128-2,"7：00
20：00",,1,水洗式,,1,2,1,1,1,,,,,○,○,光感知式,○,引き戸式,2.15×2.2,前方・左から,,,○,光感知式,,,○,○,,○,,,,,,,,,,,,,,,
224,花の里河川公園公衆トイレ,有田川町,有田川町庄921,"9：00
17：00",5,1,水洗式,,,1,,,1,2,,,,○,○,手動式,,引き戸式,2.5×2.5,前方から,,,,レバー式,,,,,,,花の里河川公園,,,,,,,,,,,,,,
225,花の里公園公衆トイレ,有田川町,有田川町庄921,終日,5,1,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,,引き戸式,2.5×2.5,前方・左から,,,,手動式,,,,,,,花の里河川公園,,,,,,,,,,,,,,
226,どんどん広場公衆トイレ,有田川町,有田川町庄1003-2,"9：00
18：00",30,1,水洗式,1,1,5,2,2,,,,,,○,○,押ボタン式,○,引き戸式,2.5×2.5,前方・左から,,,,光感知式,,,,,,○,どんどん広場,,,,,,,,,,,,,,
227,金屋河川敷公衆トイレ,有田川町,有田川町金屋900,終日,,1,水洗式,,1,1,,2,1,,,,,○,○,押ボタン式,,引き戸式,2.5×2.5,前方・左から,,,,手動式,,,,,,,,,,,,,,,,,,,,,
228,役場金屋庁舎前公衆トイレ,有田川町,有田川町金屋3,終日,20,1,水洗式,,1,1,,2,,,,,,○,○,手動式,○,引き戸式,2.5×2.5,前方・左から,,,,光感知式,,,,,,○,,,,,,,,,,,,,,,
229,道の駅「しらまの里」公衆トイレ,有田川町,有田川町宇井苔213-1,終日,30,1,水洗式,,1,2,1,5,1,,,,,○,○,手動式,,引き戸式,2.5×2.5,前方・左から,,,,レバー式,,,,,,,,,,,,,,,,,,,,,
230,道の駅「明恵ふるさと館」公衆トイレ,有田川町,有田川町金屋322-1,終日,30,1,水洗式,,1,3,1,3,,,,,,○,○,手動式,,引き戸式,3.0×3.0,前方・左から,,,,光感知式,,,,,,,,,,,,,,,,,,,,,
231,粟生町営前公衆トイレ,有田川町,有田川町粟生211,終日,2,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
232,粟生の巌公衆トイレ,有田川町,有田川町粟生894,終日,1,,汲み取り式,,,,,,,3,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,
233,二川ダム公園公衆トイレ,有田川町,有田川町二川509-2,終日,10,,汲み取り式,1,,4,,2,,,,,,,,,,,,,,,,手動式,,,,,,,二川ダム公園,,,,,,,,,,,,,,
234,楠本公衆トイレ,有田川町,有田川町楠本（国道沿い）,終日,1,1,バイオ式,,,1,,,1,,,,,○,○,レバー式,○,引き戸式,2.5×2.5,前方・右から,,,,手動式,,,,,○,,生石高原,標高870mあり、360度の眺望と四季折々の草花に彩られます。,,,,,,,,,,,,,
235,楠本札立峠公衆トイレ,有田川町,有田川町楠本1490-82,終日,10,,水洗式,1,1,2,1,2,,,,,,○,○,レバー式,○,引き戸式,2.5×2.5,前方・右から,,,,手動式,,,,,,,生石高原,標高870mあり、360度の眺望と四季折々の草花に彩られます。,,,,,,,,,,,,,
236,道の駅「あらぎの里」公衆トイレ,有田川町,有田川町三田662-1,終日,23,2,水洗式,1,1,3,1,2,,,,,,○,○,押ボタン式,○,引き戸式,2.5×2.5,前方・右から,,,,光感知式,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
237,三田活性化センタ－公衆トイレ,有田川町,有田川町三田461-2,終日,5,,汲み取り式,,,,,,,1,,,,,,,,,,,,,,レバー式,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
238,しみず温泉前公衆トイレ,有田川町,有田川町清水1224-2,終日,30,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
239,しみず温泉第２駐車場公衆トイレ,有田川町,有田川町清水1225-1,終日,15,,水洗式,1,2,5,,2,,,,,,,,,,,,,,,,手動式,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
240,道の駅「しみず」公衆トイレ,有田川町,有田川町清水607,終日,30,,水洗式,,2,4,,4,,,,,,○,○,光感知式,,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
241,杉野原「雨錫寺」公衆トイレ,有田川町,有田川町杉野原976,終日,3,,水洗式,,,1,,,1,1,,,,,,,,,,,,,,手動式,,,,,,,雨錫寺阿弥陀堂,杉野原の御田舞が行われる場所です。,,,,,,,,,,,,,
242,下湯川公衆トイレ,有田川町,有田川町下湯川353-3,終日,1,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,湯川渓谷,湯川渓谷には3滝（さがり滝、銚子の滝、五段の滝）があり、秋には紅葉がきれいな場所です。,,,,,,,,,,,,,
243,山の家しみず公衆トイレ,有田川町,有田川町上湯川921,終日,10,1,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右から,○,,,手動式,,,,,,,湯川渓谷,湯川渓谷には3滝（さがり滝、銚子の滝、五段の滝）があり、秋には紅葉がきれいな場所です。,,,,,,,,,,,,,
244,境川公衆トイレ,有田川町,有田川町境川,終日,1,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,あらぎ島,日本棚田百選に選ばれています。四季折々の姿を見せ、観光客などを魅了します。,,,,,,,,,,,,,
245,吉備湯浅PA公衆トイレ(上り),有田川町,和歌山県有田郡有田川町,終日,45,1,水洗式,1,2,5,1,6,,,,1,2,○,○,レバー式,○,引き戸式,2.0×3.0,前方・右から,○,○,,光感知式,○,○,○,○,,○,"湯浅温泉
二の丸温泉",スナック・物産コーナーあり,,,,,,,,,,,,,
246,吉備湯浅PA公衆トイレ(下り),有田川町,和歌山県有田郡有田川町,終日,34,1,水洗式,1,2,5,1,6,,,,1,2,○,○,レバー式,○,引き戸式,2.0×3.0,前方・右から,○,○,,光感知式,○,○,○,○,,○,"湯浅温泉
二の丸温泉",コンビニ(24時間営業)あり,,,,,,,,,,,,,
247,上湯川公衆トイレ,有田川町,上湯川377,終日,,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,湯川渓谷,湯川渓谷にはさがりの滝があり、秋には紅葉がきれいな場所です。,,,,,,,,,,,,,
248,ふれあい水辺公園藤井公衆トイレ,御坊市,御坊市藤田町藤井,終日,50,1,水洗式,,,,,,1,2,,,,○,○,手動式,,外開き式,2.0×3.0,前方から,,,,手動式,,,,○,,,道成寺,,,,,,,,,,,,,,
249,ふれあい水辺公園せせらぎ広場公衆トイレ,御坊市,御坊市野口,普段はクローズ,100,,水洗式,,,,,,1,2,,,,○,○,手動式,,外開き式,2.0×2.0,前方から,,,,手動式,,,,○,,,日高川ゴルフ場,,,,,,,,,,,,,,
250,御坊総合運動公園公衆トイレ,御坊市,御坊市塩屋町南塩屋,終日,150,,水洗式,9,,19,13,,,,,,,○,○,手動式,,外開き式,2.0×3.0,前方から,,,,手動式,,,,○,,,日高港新エネルギーパーク,,,,,,,,,,,,,,
251,日高港新エネルギーパーク,御坊市,御坊市塩屋町南塩屋,"10:00
17：00",20,2,水洗式,1,,3,2,,,,,,3,○,○,手動式,,外開き式,2.0×3.0,前方から,,,,光感知式,,,,○,,,御坊総合運動公園,,,,,,,,,,,,,,
252,日高川ゴルフ場,御坊市,御坊市野口,"8:15
17：00",100,,水洗式,,,,,,,3,,,,○,○,手動式,,外開き式,2.0×2.0,前方から,,,,レバー式,,,,○,,,ふれあい水辺公園せせらぎ広場,,,,,,,,,,,,,,
253,野口オートキャンプ場,御坊市,御坊市野口,キャンプ場利用時は終日,100,,水洗式,1,1,2,2,4,1,,,,,○,○,手動式,,外開き式,2.0×3.0,前方から,,,,レバー式,,,,○,,,野口オートキャンプ場,,,,,,,,,,,,,,
254,野口ゲートボール場,御坊市,御坊市野口,ゲートボール場利用時は終日,100,,水洗式,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,野口ゲートボール場,,,,,,,,,,,,,,
255,日高港塩屋緑地公衆トイレ,御坊市,御坊市塩屋町南塩屋,終日,15,1,水洗式,,1,2,,2,,,,,,○,○,光感知式,,引き戸式,2.0×2.0,前方から,,,,レバー式,,,,,,,日高港エネルギーパーク,,,,,,,,,,,,,,
256,潮騒かおる公園公衆トイレ,美浜町,美浜町和田1979,終日,12,,水洗式,,1,2,,2,1,,,,,○,,手動式,,引き戸式,,,,,,手動式,,,,,,,潮騒かおる公園,,,,,,,,,,,,,,
257,自衛隊前公衆トイレ,美浜町,美浜町和田1138,終日,,,水洗式,,1,2,,2,1,,,,,○,,手動式,,引き戸式,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
258,三尾三叉路公衆トイレ,美浜町,美浜町945-1,終日,,,汲み取り式,,,1,,1,,,,,,,,手動式,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
259,浜ノ瀬緑地公園内トイレ,美浜町,美浜町浜ノ瀬海浜地,終日,,,水洗式,,1,2,,2,1,,,,,○,,手動式,,引き戸式,,,,,,手動式,,,○,,,○,浜ノ瀬緑地公園,,,,,,,,,,,,,,
260,吉原公園トイレ,美浜町,美浜町吉原,終日,,,汲み取り式,,,3,,3,1,,,,,○,,手動式,,引き戸式,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
261,日の岬パーク公衆トイレ,美浜町,美浜町三尾211,終日,20,,水洗式,,,2,,2,,,,,,,,手動式,,引き戸式,,,,,,手動式,,,,,,,日の岬パーク,,,,,,,,,,,,,,
262,西山ピクニック緑地公衆トイレ１,美浜町,美浜町,終日,10,,汲み取り式,,1,3,,3,,,,,,,,,,,,,,,,手動式,,,○,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
263,日高町役場,日高町,日高町高家626,終日,21,1,水洗式,,,,,,1,,,,,○,○,足踏式,○,外開き式,2.2×2.4,前方から,,,,光感知式,,,,,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地、熊野古道紀伊路,,,,,,,,,,,,,,
264,柏地区公衆トイレ,日高町,日高町志賀4382番地先,終日,6,1,水洗式,,1,1,,2,1,,,,,○,○,足踏式,○,引き戸式,2.1×2.1,前方・右から,,,,手動式,,,,○,,,"温泉館「海の里」
みちしおの湯",,,,,,,,,,,,,,
265,温泉館「海の里」みちしおの湯,日高町,日高町方杭100,終日,50,2,水洗式,,1,2,,2,1,,,,,○,○,足踏式,○,引き戸式,1.8×1.9,前方・左から,,,,光感知式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
266,比井地区公衆トイレ,日高町,日高町比井79-1,終日,5,,水洗式,,,1,,,1,1,,,,○,○,足踏式,○,引き戸式,2.1×2.1,前方・右から,,,,手動式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
267,産湯パブリックトイレ,日高町,日高町産湯728-1,終日,100,,水洗式,1,1,5,1,3,1,,,,,○,○,手動式,,引き戸式,2.2×2.0,前方から,,,,手動式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
268,阿尾漁港内公衆トイレ,日高町,日高町阿尾108-4,終日,3,1,水洗式,,1,2,,2,1,,,,,○,○,手動式,,引き戸式,1.9×1.9,前方・左から,,,,手動式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
269,金魚茶屋駐車場公衆トイレ,日高町,日高町原谷900,終日,10,,水洗式,,,2,1,2,1,,,,,○,○,手動式,○,引き戸式,1.9×1.8,前方から,,,,手動式,,,,○,,,熊野古道紀伊路,,,,,,,,,,,,,,
270,西山ピクニック緑地公衆トイレ２,日高町,日高町産湯486,終日,5,,汲み取り式,,,3,,,,1,,,,,,,,,,,,,,手動式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
271,小浦地区公衆トイレ,日高町,日高町小浦86-3,終日,8,1,水洗式,,1,1,,1,1,,,,,○,○,手動式,,引き戸式,2.0×2.1,前方・左から,,,,手動式,,,,○,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
272,産湯地区公衆トイレ,日高町,日高町産湯,終日,10,,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
273,高家地区公衆トイレ,日高町,日高町高家914,終日,8,1,水洗式,,,,,,1,,,,,○,○,足踏式,,引き戸式,2.4×2.2,前方から,,,,手動式,,,,,,,産湯海水浴場、温泉館「海の里」みちしおの湯、西山ピクニック緑地,,,,,,,,,,,,,,
274,阿戸公衆トイレ,由良町,由良町阿戸1002-37,終日,,1,水洗式,,1,2,,2,,,,,,○,○,レバー式,○,引き戸式,2.0×2.1,前方から,,,,光感知式,,,○,○,,,由良海釣り公園、興国寺,,,,,,,,,,,,,,
275,児童公園公衆トイレ,由良町,由良町里1444,終日,,,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,由良海釣り公園、興国寺,,,,,,,,,,,,,,
276,吹井公衆トイレ,由良町,由良町神谷,終日,22,1,水洗式,,,1,,1,,,,,,○,○,光感知式,○,引き戸式,2.1×2.3,前方から,,,,光感知式,,,,○,,,由良海釣り公園,,,,,,,,,,,,,,
277,神谷公衆トイレ,由良町,由良町神谷466-2,終日,14,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.7×1.7,前方から,,,,手動式,,,,○,,,由良海釣り公園,,,,,,,,,,,,,,
278,汐入橋公衆トイレ,由良町,由良町大引780-5,終日,3,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,2.0×2.1,前方から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園,,,,,,,,,,,,,,
279,"大引漁港内公衆トイレ
（大引西出公衆トイレ）",由良町,由良町大引616-1,終日,,,汲み取り式,,,1,,,2,1,,,,,,,,,,,,,,手動式,,,,,,,白崎海岸、白崎万葉公園、白崎海洋公園,,,,,,,,,,,,,,
280,白崎万葉公園公衆トイレ,由良町,由良町大引956-5,終日,2,,水洗式,,2,2,,2,,,,,,○,○,光感知式,,引き戸式,1.9×2.0,前方から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園,,,,,,,,,,,,,,
281,白崎海洋公園内公衆トイレ（パークセンター側）,由良町,由良町大引960-1,終日,50,,水洗式,,2,4,,4,,,,,,○,○,手動式,○,引き戸式,1.8×2.0,前方から,,,,手動式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園,,,,,,,,,,,,,,
282,白崎海洋公園公衆トイレ（オートキャンプ場側）,由良町,由良町大引960-1,"9:00
17:00",50,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.8×2.0,前方から,,,,手動式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園,,,,,,,,,,,,,,
283,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,小引農村広場公衆トイレ,由良町,由良町小引543,終日,,,水洗式,,1,1,,1,,,,,,○,○,手動式,,引き戸式,2.1×2.1,前方から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園、戸津井鍾乳洞,,,,,,,,,,,,,,
285,戸津井公衆トイレ,由良町,由良町戸津井187-3,終日,,1,水洗式,,1,1,,1,,,,,,○,○,手動式,○,引き戸式,2.1×2.1,前方から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園、戸津井鍾乳洞,,,,,,,,,,,,,,
286,漁港美化推進施設公衆トイレ（衣奈公衆トイレ）,由良町,由良町衣奈43-9,終日,3,,水洗式,,1,1,,1,,,,,,○,○,手動式,,引き戸式,2.2×2.0,前方から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園、戸津井鍾乳洞、興国寺,,,,,,,,,,,,,,
287,衣奈東公衆トイレ,由良町,由良町衣奈831-5,終日,5,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,白崎海岸、白崎万葉公園、白崎海洋公園、戸津井鍾乳洞、興国寺,,,,,,,,,,,,,,
288,町民公園公衆トイレ,由良町,由良町吹井910-1,終日,,1,水洗式,,1,2,,1,,,,,,○,○,光感知式,,引き戸式,2.1×2.1,向かって左から,,,,光感知式,,,,○,,,白崎海岸、白崎万葉公園、白崎海洋公園、戸津井鍾乳洞、興国寺、由良海釣り公園,,,,,,,,,,,,,,
289,道成寺,日高川町,日高川町鐘巻1738,終日,20,1,水洗式,1,,5,5,2,,,,,,○,○,押ボタン式,,引き戸式,1.8×2.0,前方から,○,,,光感知式,○,,,○,,○,道成寺,,,,,,,,,,,,,,
290,和佐駅前公衆トイレ,日高川町,日高川町和佐1429-1,終日,10,,水洗式,,1,2,,2,,,,,,○,○,光感知式,,引き戸式,1.8×2.8,向かって右から,,,,光感知式,,,,○,,○,かわべテニス公園、かわべ天文公園、丹生神社,,,,,,,,,,,,,,
291,かわべ天文公園,日高川町,日高川町和佐2106-1,終日,50,,水洗式,1,,4,3,1,,,,1,,○,○,押ボタン式,○,引き戸式,1.8×2.0,前方から,,,,手動式,,,,○,,○,かわべテニス公園、丹生神社,,,,,,,,,,,,,,
292,大滝川森林公園公衆トイレ,日高川町,日高川町山野2021,終日,15,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,真妻山登山、かわべテニス公園、かわべ天文公園、丹生神社,,,,,,,,,,,,,,
293,メモリアルウエスト日高川,日高川町,日高川町早藤413-1,終日,30,,汲み取り式,,1,1,,2,,,,,,,,,,,,,,,,手動式,,,,,,,日高川（キャンプ、釣り）,,,,,,,,,,,,,,
294,中津産品販売所公衆トイレ,日高川町,日高川町船津794,終日,14,1,水洗式,,1,2,,3,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,向かって右から,○,,○,光感知式,,,,○,,○,日高川（キャンプ、釣り）,,,,,,,,,,,,,,
295,なかつ平成の森公衆トイレ,日高川町,日高川町西原362-1,終日,5,,汲み取り式,,1,1,,2,,,,,,,,,,,,,,,,手動式,,,,,,,飯盛山登山,,,,,,,,,,,,,,
296,中津テニスコート公衆トイレ,日高川町,日高川町高津尾1040-1,終日,20,,水洗式,,1,1,,2,,,,,,,,,,,,,,,,手動式,,,,○,,,日高川（キャンプ、釣り）,,,,,,,,,,,,,,
297,第２鳴滝キャンプ場前公衆トイレ,日高川町,日高川町高津尾1013-4,終日,40,2,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方から,,,,光感知式,,,○,○,,,なかつカブト虫の森,,,,,,,,,,,,,,
