観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,鷲の川公衆トイレ,日高川町,日高川町田尻550-8,終日,10,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,鷲の川アマゴ釣り堀、矢筈岳登山,,,,,,,,,,,,,,
299,日高川町役場美山支所前公衆トイレ,日高川町,日高川町川原河202-1,終日,30,,水洗式,,,1,,,,1,,,,○,○,押ボタン式,,引き戸式,2.2×2.2,向かって右から,,,,光感知式,,,,○,,,日高川（キャンプ、釣り）,,,,,,,,,,,,,,
300,美山若者広場公衆トイレ,日高川町,日高川町初湯川1911-14,終日,50,,水洗式,,2,4,1,3,,,,,,○,○,押ボタン式,,引き戸式,2.2×2.2,前方から,,,,レバー式,,,,○,,,ヤッホーポイント、リフレッシュエリアみやまの里（藤棚ロード）,,,,,,,,,,,,,,
301,椿山ダム公衆トイレ,日高川町,日高川町初湯川1875-1,終日,6,,水洗式,,,2,,,,1,,,,○,○,押ボタン式,,引き戸式,2.2×2.2,前方から,,,,手動式,,,,○,,,ヤッホーポイント、リフレッシュエリアみやまの里（藤棚ロード）,,,,,,,,,,,,,,
302,グリーンパーク椿山公衆トイレ,日高川町,日高川町初湯川1881-3,終日,10,,水洗式,,1,1,,2,,,,,,,,,,,,,,,,光感知式,,,,○,,,ヤッホーポイント、リフレッシュエリアみやまの里（藤棚ロード）,,,,,,,,,,,,,,
303,浪瀬公衆トイレ,日高川町,日高川町初湯川1949-1,終日,15,,水洗式,,2,2,,2,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方から,,,,レバー式,,,,○,,,ヤッホーポイント、リフレッシュエリアみやまの里（藤棚ロード）,,,,,,,,,,,,,,
304,猪谷パーク公衆トイレ,日高川町,日高川町初湯川1737,終日,28,2,水洗式,,1,2,,1,,,,,,○,○,押ボタン式,,引き戸式,2.4×2.4,向かって左から,,,,光感知式,,,,○,○,○,猪谷療養温泉館、猪谷川水辺公園,,,,,,,,,,,,,,
305,寒川公衆トイレ,日高川町,日高川町寒川137-1,終日,3,,水洗式,,,1,,,,1,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方から,,,,レバー式,,,,○,,,寒川神社,,,,,,,,,,,,,,
306,森の鼻休憩所公衆トイレ,みなべ町,みなべ町堺578,終日,35,1,水洗式,,1,2,2,,,,,,,○,○,手動式,,外開き式,2.0×3.0,前方から,,,,レバー式,,○,,,,○,,,,,,,,,,,,,,,
307,二子の浜公衆トイレ,みなべ町,みなべ町埴田1430,終日,2,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,2.1×2.1,前方から,,,,光感知式,,,,,,,みなべ温泉,,,,,,,,,,,,,,
308,岩代公衆トイレ,みなべ町,みなべ町西岩代,終日,3,1,水洗式,,1,1,,1,,,,,,○,○,手動式,○,引き戸式,2.1×2.1,前方から,,,,光感知式,,,,,,○,"熊野古道紀伊路
岩代王子",,,,,,,,,,,,,,
309,岩代大梅林公衆トイレ,みなべ町,みなべ町西岩代,終日,30,1,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,2.1×2.5,前方から,,,,光感知式,,,,,,○,岩代大梅林,,,,,,,,,,,,,,
310,南部梅林公衆トイレ,みなべ町,みなべ町晩稲,終日,6,1,水洗式,,1,1,,1,,,,,,○,○,手動式,,引き戸式,2.0×3.0,向かって右から,,,,光感知式,,,,,,○,南部梅林,,,,,,,,,,,,,,
311,うめ振興館公衆トイレ,みなべ町,みなべ町谷口538-1,終日,45,2,水洗式,,1,3,1,2,,,,,,○,○,レバー式,○,引き戸式,1.5×2.0,前方から,,,,光感知式,,,,,,,道の駅 うめ振興館,,,,,,,,,,,,,,
312,清川球場公衆トイレ,みなべ町,みなべ町清川1267,終日,30,1,水洗式,,1,2,,2,,,,,,○,,手動式,○,外開き式,2.0×2.0,前方から,,,,手動式,,○,○,,,,紀州備長炭振興館,,,,,,,,,,,,,,
313,南部梅林駐車場公衆トイレ,みなべ町,みなべ町晩稲,終日,50,1,水洗式,,1,2,1,1,,,,,,○,○,光感知式,○,引き戸式,2.2×2.9,前方から,,,,光感知式,,,,,,○,南部梅林,,,,,,,,,,,,,,
314,須賀神社,みなべ町,みなべ町西本庄242,終日,, ,水洗式,,1,4,,4,,,,,,○,,手動式,,引き戸式,2.0×2.1,前方から,○,,,手動式,,,,,,,須賀神社,,,,,,,,,,,,,,
315,川又観音,印南町,印南町大字川又486-16,終日,30,2,汲み取り式,,,3,,,1,1,,,,,,,,,,,,,,手動式,,,,,,,川又観音,,,,,,,,,,,,,,
316,東光寺,印南町,印南町大字印南2332,終日,10,2,水洗式,,2,2,,1,,,,,,,,,,,,,,,,手動式,,,,,,,東光寺,,,,,,,,,,,,,,
317,瀧法寺,印南町,印南町大字印南原493,終日,10,2,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,手動式,,,,,,,瀧法寺,,,,,,,,,,,,,,
318,印定寺,印南町,印南町大字印南2260,終日,10,2,水洗式,,,3,,,,3,,,,,,,,,,,,,,手動式,,,,,,,印定寺,,,,,,,,,,,,,,
319,切目王子公衆トイレ,印南町,印南町大字西ノ地328,終日,5,2,水洗式,,,,,,,1,,,,,,,,,,,,,,手動式,,,,,,,熊野古道紀伊路、切目王子,,,,,,,,,,,,,,
320,切目中山王子公衆トイレ,印南町,印南町大字西ノ地2917,終日,5,2,汲み取り式,,,2,,,1,1,,,,,,,,,,,,,,手動式,,,,,,,熊野古道紀伊路、切目中山王子,,,,,,,,,,,,,,
321,サンシャイン牧場,印南町,印南町大字印南原5640,終日,20,2,汲み取り式,,,,,,,3,,,,,,,,,,,,,,手動式,,,,,,,サンシャイン牧場,,,,,,,,,,,,,,
322,フレッシュマート,印南町,印南町大字印南261-1,終日,20,2,水洗式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
323,印南SA公衆トイレ(上り),印南町,和歌山県日高郡印南町,終日,44,1,水洗式,1,1,4,4,4,,,,1,5,○,○,レバー式,○,引き戸式,2.0×3.0,前方・右から,○,○,○,光感知式,○,○,○,○,,○,,スナック・物産コーナーあり,,,,,,,,,,,,,
324,印南SA公衆トイレ(下り),印南町,和歌山県日高郡印南町,終日,31,1,水洗式,1,1,4,4,4,,,,1,5,○,○,レバー式,○,引き戸式,2.0×3.0,前方・左から,○,○,○,光感知式,○,○,○,○,,○,,白浜方面への最終SA,,,,,,,,,,,,,
325,奥熊野古道本宮公衆トイレ,田辺市,田辺市本宮町伏拝,終日,30,2,水洗式,1,1,4,1,4,,,,,,○,○,手動式,○,引き戸式,2.3×1.8,前方から,,,,光感知式,,○,○,○,,,,,,,,,,,,,,,,,
326,発心門公衆トイレ(休憩所),田辺市,田辺市本宮町三越,終日,,,バイオ式,1,1,2,1,2,,,,,,○,○,手動式,○,引き戸式,2.2×2.0,前方から,,,,光感知式,,○,,○,,○,熊野古道中辺路、発心門王子,隣接地（空き地）に駐車可,,,,,,,,,,,,,
327,伏拝公衆トイレ(休憩所),田辺市,田辺市本宮町伏拝,終日,,,バイオ式,1,1,2,1,2,,,,,,,,,,,,,,,,光感知式,,○,,○,,○,熊野古道中辺路、伏拝王子,休憩所には販売所あり（不定休）,,,,,,,,,,,,,
328,八木尾公衆トイレ,田辺市,田辺市本宮町切畑,終日,,,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,手動式,,,○,○,,,熊野古道中辺路、小辺路,地区集会所に併設,,,,,,,,,,,,,
329,船玉広場（赤木越入口）公衆トイレ,田辺市,田辺市本宮町三越,終日,,,汲み取り式,,1,1,,2,,,,,,,,,,,,,,,,手動式,,,,○,,,熊野古道中辺路、赤木越,船玉神社近く,,,,,,,,,,,,,
330,湯峯公衆トイレ（県立）,田辺市,田辺市本宮町湯峯,終日,"44
うち大型3",2,水洗式,,1,2,,2,,,,,,○,○,手動式,○,引き戸式,2.2×1.9,前方から,,,,光感知式,,○,○,○,,,湯の峰温泉,,,,,,,,,,,,,,
331,請川公衆トイレ（県立）,田辺市,田辺市本宮町請川,終日,1,1,水洗式,,1,2,1,2,,,,,,○,○,手動式,○,引き戸式,2.8×2.3,前方から,,,,光感知式,,,○,,,,熊野古道中辺路、小雲取越登り口,,,,,,,,,,,,,,
332,本宮大社下公衆トイレ（県立）,田辺市,田辺市本宮町本宮,終日,,,水洗式,,2,3,1,2,,,,,,○,○,手動式,○,引き戸式,2.2×2.2,前方・左から,,,,光感知式,,,,○,,,熊野本宮大社,,,,,,,,,,,,,,
333,川湯公衆トイレ,田辺市,田辺市本宮町川湯,終日,,,水洗式,,,1,,1,,,,,,,,,,,,,,,,手動式,,,,,,,川湯温泉,,,,,,,,,,,,,,
334,新川湯広場公衆トイレ,田辺市,田辺市本宮町川湯,終日,,,水洗式,,1,1,1,1,,,,,,○,○,手動式,○,引き戸式,2.2×2.2,前方から,○,,,光感知式,,○,○,○,,,川湯温泉,薬師広場内,,,,,,,,,,,,,
335,小雲取公衆トイレ（県立）,田辺市,田辺市本宮町皆瀬川,終日,,,バイオ式,,,,,,1,,,,,,,,,,,,,,,手動式,,,,,,,熊野古道中辺路、百間ぐら,隣接地（空き地）に駐車可,,,,,,,,,,,,,
336,音無川公衆トイレ,田辺市,田辺市本宮町本宮,終日,8,1,水洗式,,1,2,1,1,,,,,,○,○,手動式,○,引き戸式,3.0×1.8,左から,○,,○,光感知式,,○,,○,,○,"熊野本宮大社
大斎原（旧社地）",,,,,,,,,,,,,,
337,水呑王子公衆トイレ,田辺市,田辺市本宮町三越,終日,,,バイオ式,,,,,,2,,,,,,,,,,,,,,,手動式,,,○,,,,熊野古道中辺路、水呑王子,,,,,,,,,,,,,,
338,世界遺産熊野本宮館公衆トイレ（北・南館）,田辺市,田辺市本宮町本宮,終日,"56
うち大型2",2,水洗式,2,2,7,5,3,,,,,,○,○,光感知式,○,引き戸式,1.8×2.5,前方から,,,○,光感知式,,○,,○,,○,"熊野本宮大社
大斎原（旧社地）",,,,,,,,,,,,,,
339,滝尻公衆トイレ,田辺市,田辺市中辺路町栗栖川,終日,,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.7×2.1,前方から,,,,手動式,,,,,○,,"熊野古道中辺路、滝尻王子
熊野古道館",,,,,,,,,,,,,,
340,牛馬童子公衆トイレ,田辺市,田辺市中辺路町近露,終日,"19
うち大型3",,水洗式,,1,3,3,4,,,,,3,○,○,押ボタン式,,引き戸式,2.1×2.1,前方から,,,,手動式,,,,○,,,熊野古道中辺路、牛馬童子,,,,,,,,,,,,,,
341,中辺路新滝尻公衆トイレ,田辺市,田辺市中辺路町栗栖川,終日,"9
うち大型6",1,水洗式,1,,3,2,1,,,,,,○,○,光感知式,,引き戸式,2.5×2.0,前方・左から,,,,光感知式,,,,,,○,"熊野古道中辺路、滝尻王子
熊野古道館",,,,,,,,,,,,,,
342,水上公衆トイレ,田辺市,田辺市中辺路町水上,終日,10,,水洗式,,2,3,,5,,,,,,○,○,押ボタン式,,引き戸式,1.8×2.7,右から,,,,"手動式
光感知式",,○,,,,,,,,,,,,,,,,,,,
343,真砂公衆トイレ,田辺市,田辺市中辺路町真砂,終日,,,水洗式,,1,1,,3,,,,,,,,,,,,,,,,手動式,,,,,,,"一願寺
清姫の墓",,,,,,,,,,,,,,
344,野中公衆トイレ,田辺市,田辺市中辺路町野中,終日,4,,水洗式,,1,1,,3,,,,,,○,○,手動式,,引き戸式,1.9×2.1,左から,,,○,手動式,,,,○,,,"熊野古道中辺路、一方杉　継桜王子
とがのき茶屋",,,,,,,,,,,,,,
345,小広公衆トイレ,田辺市,田辺市中辺路町野中,終日,,,水洗式,,,1,,,,1,,,,○,○,手動式,,折りたたみ式,2.1×2.1,前方から,,,,手動式,,,,○,,,熊野古道中辺路、小広王子,隣接地（空き地）に駐車可,,,,,,,,,,,,,
346,新近露王子公衆トイレ,田辺市,田辺市中辺路町近露,終日,2,,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,折りたたみ式,2.7×2.3,前方から,,,○,光感知式,,○,,,,○,"熊野古道中辺路、近露王子
熊野古道なかへち美術館",,,,,,,,,,,,,,
347,近露公衆トイレ,田辺市,田辺市中辺路町近露,終日,"35
うち大型7",1,水洗式,,2,5,,4,,,,,,○,○,押ボタン式,,引き戸式,1.8×1.8,前方から,,,,"手動式
光感知式",,○,○,,,,"熊野古道中辺路、近露王子
熊野古道なかへち美術館",,,,,,,,,,,,,,
348,十丈王子公衆トイレ,田辺市,田辺市大内川,終日,,,バイオ式,,,,,,,2,,,,,,,,,,,,,,,,,○,,,,熊野古道中辺路、十丈王子,,,,,,,,,,,,,,
349,乙女の湯公衆トイレ,田辺市,田辺市下川下,終日,18,,水洗式,,1,1,1,1,,,,,,,,,,,,,,,,光感知式,,,,○,,,"青少年旅行村
乙女の湯",,,,,,,,,,,,,,
350,ふるさとセンター大塔公衆トイレ,田辺市,田辺市鮎川,終日,"13
うち大型2",2,水洗式,,,1,,,,1,,,,○,○,手動式,,引き戸式,1.6×1.8,前方から,○,,,手動式,,,○,○,,,ふるさとセンター大塔,,,,,,,,,,,,,,
351,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,護摩壇山公衆トイレ,田辺市,奈良県吉野郡十津川村大字杉清地内,終日,50,,水洗式,,1,3,,2,,,,,,○,○,手動式,,引き戸式,2.4×2.1,前方・左から,,,,光感知式,,,○,○,,,ごまさんスカイタワー,,,,,,,,,,,,,,
353,大熊公衆トイレ,田辺市,田辺市龍神村龍神,終日,5,,汲み取り式,,1,5,,4,,,,,,,,,,,,,,,,手動式,,,,,,,高野龍神スカイライン,,,,,,,,,,,,,,
354,皆瀬公衆トイレ,田辺市,田辺市龍神村龍神,終日,1,,汲み取り式,,2,4,,4,,,,,,,,,,,,,,,,手動式,,,,,,,"曼陀羅美術館
龍神温泉",,,,,,,,,,,,,,
355,グリーンランド公衆トイレ,田辺市,田辺市龍神村龍神,終日,11,,水洗式,1,1,3,1,3,,,,,,○,○,押ボタン式,,引き戸式,2.2×3.0,前方・左から,,,○,光感知式,,,,,,○,"曼陀羅美術館
龍神温泉",,,,,,,,,,,,,,
356,紀の国新王子公衆トイレ,田辺市,田辺市龍神村龍神,終日,3,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.8×2.2,前方・左から,,,,手動式,,,,,,,"道の駅龍神
龍神温泉",,,,,,,,,,,,,,
357,龍神温泉公衆トイレ,田辺市,田辺市龍神村龍神59,終日,5,,水洗式,1,1,3,2,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.3,前方・左から,,,,光感知式,,,○,○,,○,"龍神温泉
曼陀羅の滝",,,,,,,,,,,,,,
358,殿原公衆トイレ,田辺市,田辺市龍神村殿原1286-2,終日,5,,水洗式,,,1,,1,,,,,,○,○,手動式,,外開き式,1.1×1.5,前方から,,,,手動式,,,,,,,,,,,,,,,,,,,,,
359,柳瀬公衆トイレ,田辺市,田辺市龍神村柳瀬908,終日,10,,水洗式,,1,4,,4,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
360,虎ヶ峰公衆トイレ,田辺市,田辺市龍神村柳瀬上笹ノ川1695-29,終日,15,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,2.1×2.1,前方・左から,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
361,小菅公衆トイレ,田辺市,田辺市龍神村福井,終日,30,,水洗式,,1,3,1,2,,,,,2,○,○,押ボタン式,,引き戸式,1.8×2.3,前方・左から,○,,,手動式,○,,,,,○,道の駅龍游,,,,,,,,,,,,,,
362,小家谷口公衆トイレ,田辺市,田辺市龍神村小家,終日,8,,汲み取り式,,1,,,1,,,,,,,,,,,,,,,,手動式,,,,,,,小家キャンプ場,,,,,,,,,,,,,,
363,小家公衆トイレ,田辺市,田辺市龍神村小家673,終日,1,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,小家キャンプ場,,,,,,,,,,,,,,
364,田辺梅林公衆トイレ,田辺市,田辺市上芳養石神,終日,12,,汲み取り式,,1,2,,2,,,,,,○,○,なし,,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,紀州田辺梅林,,,,,,,,,,,,,,
365,高山寺公衆トイレ,田辺市,"田辺市稲成町392
",終日,,,水洗式,,1,2,1,1,,,,,,○,○,押ボタン式,,引き戸式,1.8×2.7,前方・右から,,,,光感知式,,,,,,○,高山寺,,,,,,,,,,,,,,
366,ひき岩群国民休養地公衆トイレ,田辺市,稲成町字動鳴気1627-1,終日,12,,水洗式,,1,2,,2,1,,,,,○,○,押ボタン式,,引き戸式,1.8×2.3,向かって左から,,,,光感知式,,,,,,,ひき岩群,,,,,,,,,,,,,,
367,近畿自然歩道奇絶峡公衆トイレ,田辺市,田辺市上秋津１４１６,終日,5,,水洗式,,1,1,,1,1,,,,,○,○,押ボタン式,○,引き戸式,2.4×3.3,向かって左から,,,,光感知式,,,,,,○,奇絶峡,,,,,,,,,,,,,,
370,三越峠公衆トイレ兼休憩所,田辺市,田辺市中辺路町道湯川,"8:00
17:00",,,バイオ式,1,,,1,,,,,,,,,,,,,,,,,レバー式,,○,○,,,,熊野古道　発心門王子,カキガラを利用した浄化循環式トイレ,,,,,,,,,,,,,
371,白浜会館,白浜町,白浜町1,"8:30
17:00",50,2,水洗式,,7,16,,8,,2,,,,○,○,レバー式,,引き戸式,3.0×3.0,前方・右から,,,,レバー式,,,,,,,江津良海水浴場,,,,,,,,,,,,,,
372,青少年研修センター,白浜町,白浜町1-1,"9:00
22:00",6,,水洗式,1,4,8,2,6,,,,,,○,○,レバー式,,引き戸式,1.9×2.2,前方・右から,,,,レバー式,,,,,,,江津良海水浴場,,,,,,,,,,,,,,
373,白浜町立総合体育館,白浜町,白浜町29-3,"8:30
17:00",80,1,水洗式,1,3,10,2,16,,,,,,○,○,レバー式,,引き戸式,2.7×2.0,前方・右から,,,,レバー式,,,,,,,江津良海水浴場,,,,,,,,,,,,,,
374,白浜町中央公民館,白浜町,白浜町1130-9,"8:30
17:00",28,1,水洗式,,4,6,,6,,,,,,○,○,レバー式,○,引き戸式,2.0×2.0,前方・左から,,,,手動式,,,,,,,白良浜,,,,,,,,,,,,,,
375,白良浜公衆トイレ（たこ公園前）,白浜町,白浜町864,終日,,,水洗式,1,2,,2,1,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・左から,,,,光感知式,,,○,,,,白良浜,,,,,,,,,,,,,,
376,白良湯,白浜町,白浜町3313-1,"7:30
17:00",6,1,水洗式,1,,2,2,,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・右・左から,,,,レバー式,,,,,,○,白良浜,,,,,,,,,,,,,,
377,白良浜公衆トイレ（薬師堂前）,白浜町,白浜町3121-8,終日,,,水洗式,1,2,5,2,10,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・左から,,,,光感知式,,,○,,,○,白良浜,,,,,,,,,,,,,,
378,白浜町役場,白浜町,白浜町1600,"8:30
17:00",20,3,水洗式,,2,8,2,2,,3,,,,○,○,レバー式,,引き戸式,1.7×2.0,前方から,,,,レバー式,,,,,,,白良浜,,,,,,,,,,,,,,
379,平草原公園公衆トイレ,白浜町,白浜町2054-1,"8:30
17:00",60,2,水洗式,,2,5,,6,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・右・左から,,,,レバー式,,,,,,,白浜民俗温泉資料館,,,,,,,,,,,,,,
380,白浜民俗温泉資料館,白浜町,白浜町2054-1,"8:30
17:00",60,2,水洗式,,2,2,,2,,,,,,○,○,レバー式,,外開き式,2.0×2.0,前方・右・左から,,,,レバー式,,,,,,,平草原,,,,,,,,,,,,,,
381,千畳敷公衆トイレ,白浜町,白浜町2927-75,終日,60,,水洗式,1,1,3,1,3,,,,,,○,○,レバー式,,外開き式,2.5×2.5,前方から,,,,手動式,,,○,,,,千畳敷,,,,,,,,,,,,,,
382,三段壁公衆トイレ（展望台前）,白浜町,白浜町2927-1823,終日,30,,水洗式,1,2,5,1,4,1,,,,,○,○,レバー式,,外開き式,2.5×2.5,前方・左から,,,,光感知式,,,○,,○,○,三段壁,,,,,,,,,,,,,,
383,三段壁公衆トイレ（駐車場）,白浜町,白浜町2927-317,終日,30,,水洗式,,,2,,2,1,,,,,○,○,レバー式,,外開き式,2.5×2.5,前方・左から,,,,手動式,,,○,,,,三段壁,,,,,,,,,,,,,,
384,白浜町立体育館,白浜町,白浜町十九渕237,"8:30
17:00",11,2,水洗式,,2,3,,3,,,,,,○,○,レバー式,,引き戸式,1.7×2.8,前方・右から,,,,レバー式,,,,,,,,,,,,,,,,,,,,,
385,白浜町立児童館,白浜町,白浜町十九渕237,"8:30
17:00",11,2,水洗式,,,6,,,,2,,,,○,○,レバー式,,引き戸式,"1.0×2.3
1.1×1.5",前方から,,,,レバー式,,,,,,,,,,,,,,,,,,,,,
386,ＪＲ白浜駅公衆トイレ,白浜町,白浜町堅田1475,終日,30,2,水洗式,,2,3,,3,,,,,,○,○,レバー式,,引き戸式,1.1×2.1,前方から,,,,光感知式,,,○,○,,○,,,,,,,,,,,,,,,
387,南紀白浜空港,白浜町,白浜町2926,"8:45
19:30",229,,水洗式,2,4,7,2,6,,,,2,,○,○,光感知式,,引き戸式,2.7×2.0　　1.8×2.0,前方から,,,○,光感知式,,,○,○,○,○,平草原、　　　　　　　　　　　　　　　　　　　　　アドベンチャーワールド,多目的トイレに着替え台あり,,,,,,,,,,,,,
388,近畿自然歩道富田公衆トイレ,白浜町,白浜町富田1206-1,"8:45
19:30",10,1,水洗式,,1,2,1,1,,,,,,○,○,光感知式,○,引き戸式,3.1×2.6,前方から,,○,○,光感知式,,,○,○,○,,熊野古道大辺路富田坂,,,,,,,,,,,,,,
389,椿はなの湯,白浜町,白浜町椿1058-1,"外：終日
中：9:00
　　21:00（3月～10月）
9:00
20:00（11月～2月）",15,2,水洗式,1,,2,2,,2,,,,,○,○,レバー式,,引き戸式,1.8×2.5,前方・左から,,,,光感知式,,,,,,,熊野古道大辺路・富田坂　　　　椿温泉,,,,,,,,,,,,,,
390,若もの広場公衆トイレ,上富田町,上富田町市ノ瀬2504,"8:45
19:30",4,1,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.5×1.5,前方から,,,,手動式,,,,,,,"若もの広場
龍松山城跡",,,,,,,,,,,,,,
391,彦五郎公園公衆トイレ,上富田町,上富田町生馬523-3,"8:45
19:30",10,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.5×2.5,前方から,,,,手動式,,,,,,,彦五郎公園,,,,,,,,,,,,,,
392,救馬渓観音（駐車場）,上富田町,上富田町生馬313,終日,50,,水洗式,,1,1,,2,,,,,,,,,,,,,,,,手動式,,,,,,,救馬渓観音,,,,,,,,,,,,,,
393,稲葉根王子公衆トイレ,上富田町,上富田町岩田,終日,,,水洗式,,,1,,,1,2,,,,,,,,,,,,,,手動式,,,,,,,熊野古道中辺路稲葉根王子,,,,,,,,,,,,,,
394,八上王子公衆トイレ,上富田町,上富田町岡1383,終日,5,1,水洗式,1,,2,1,1,,,,,,○,○,光感知式,○,引き戸式,2.5×2.5,前方から,○,,○,光感知式,,,,,○,○,八上王子,,,,,,,,,,,,,,
395,生馬公衆トイレ,上富田町,上富田町生馬,終日,,,水洗式,1,,2,1,1,,,,,,○,○,光感知式,○,引き戸式,2.5×2.5,前方から,○,,○,光感知式,,,,,○,○,観音寺,,,,,,,,,,,,,,
396,日本童謡の園,すさみ町,すさみ町江住字崎山142,終日,15,,水洗式,,1,4,,4,,,,,,○,○,手動式,,引き戸式,1.5×2.0,向かって右から,,,,手動式,,○,,,,,エビとカニの水族館,,,,,,,,,,,,,,
397,すさみ海水浴場公衆トイレ,すさみ町,すさみ町周参見東浜4581-1,終日,50,1,水洗式,,1,2,,3,,,,,,○,○,手動式,,引き戸式,2.0×2.5,向かって左から,,,,手動式,,○,○,,,,すさみ海水浴場,,,,,,,,,,,,,,
398,道の駅ｲﾉﾌﾞｰﾀﾝﾗﾝﾄﾞすさみ公衆トイレ,すさみ町,すさみ町見老津1-32,終日,13,1,水洗式,1,1,4,1,3,,,,,,○,○,レバー式,○,引き戸式,2.0×2.5,向かって左から,,,○,レバー式,,,,,,,"熊野古道大辺路長井坂
婦夫波",,,,,,,,,,,,,,
399,熊野古道和深川公衆トイレ,すさみ町,すさみ町口和深258,終日,4,,水洗式,,,1,,,,1,,,,○,○,レバー式,,引き戸式,2.0×2.5,向かって左から,,,,レバー式,,,,,,,熊野古道大辺路長井坂,,,,,,,,,,,,,,
400,熊野古道見老津公衆トイレ,すさみ町,すさみ町見老津27-2,終日,4,,水洗式,,,1,,,,1,,,,○,○,レバー式,,引き戸式,2.0×2.5,向かって左から,,,,レバー式,,,,,,,熊野古道大辺路長井坂,,,,,,,,,,,,,,
401,浮島の森公衆トイレ,新宮市,新宮市浮島3-8,9:00    　　　  17:00,6,,水洗式,,1,3,1,1,,,,,,○,○,光感知式,,引き戸式,2.0×2.0,前方から,,,,光感知式,,,○,,,,"熊野速玉大社
徐福公園",,,,,,,,,,,,,,
