観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,徐福公園公衆トイレ,新宮市,新宮市徐福1-4-24,9:00  　　　   18:00,,,水洗式,,1,3,1,1,,,,,,○,○,手動式,,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,"熊野速玉大社
浮島の森",,,,,,,,,,,,,,
403,高野坂公衆トイレ,新宮市,新宮市広角,終日,4,,水洗式,,,1,,,1,,,,,○,○,光感知式,,引き戸式,2.0×2.0,前方から,,,,光感知式,,,,,,,熊野速玉大社,,,,,,,,,,,,,,
404,速玉大社,新宮市,新宮市新宮1番地,終日,,,水洗式,,1,6,1,3,,,,,,,,,,,,,,,,手動式,,,,,,,"丹鶴城
徐福公園",,,,,,,,,,,,,,
405,丹鶴城公衆トイレ,新宮市,新宮市丹鶴,終日,,,水洗式,,1,3,,2,,,,,,,,,,,,,,,,手動式,,,,,,,"熊野速玉大社
徐福公園",,,,,,,,,,,,,,
406,黒潮公園公衆トイレ（１）,新宮市,新宮市佐野上地,終日,,,水洗式,,,1,,,1,1,,,,○,○,レバー式,,引き戸式,2.0×2.0,向かって右から,,,,レバー式,,,○,,○,,熊野古道大辺路高野坂,,,,,,,,,,,,,,
407,黒潮公園公衆トイレ（２）,新宮市,新宮市佐野上地,終日,,,水洗式,,,1,,,1,,,,,○,○,レバー式,,引き戸式,2.0×2.0,向かって右から,,,,レバー式,,,○,,○,,熊野古道大辺路高野坂,,,,,,,,,,,,,,
408,道の駅公衆トイレ（瀞峡街道・熊野川）,新宮市,新宮市熊野川町田長,終日,45,2,水洗式,,2,3,,4,,,,,,○,○,手動式,,引き戸式,2.0×2.0,向かって右から,,,,レバー式,,,,,,,"鼻白の滝
川舟下り
瀞峡",,,,,,,,,,,,,,
409,小和瀬公衆トイレ,新宮市,新宮市熊野川町長井　,終日,,,水洗式,,1,2,,1,,,,,,○,○,レバー式,○,引き戸式,2.0×2.0,向かって左から,,,,レバー式,,,○,,,,熊野古道,,,,,,,,,,,,,,
410,ドライブイン志古公衆トイレ,新宮市,新宮市熊野川町志古272,8:00　　　　　17:00,30,5,水洗式,1,4,15,1,13,,,,,,○,○,レバー式,○,引き戸式,2.0×2.0,向かって左から,,,,レバー式,,,○,,,,"瀞峡
川舟下り",,,,,,,,,,,,,,
411,小口自然の家,新宮市,新宮市熊野川町上長井398　,終日,,,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,手動式,,,,,,,熊野古道大雲取越、小雲取越,,,,,,,,,,,,,,
412,小口キャンプ場,新宮市,新宮市熊野川町西　,終日,,,水洗式,,2,4,,4,,,,,,,,,,,,,,,,手動式,,,○,,,,熊野古道大雲取越、小雲取越,,,,,,,,,,,,,,
413,三輪崎漁港交流施設,新宮市,新宮市三輪崎1丁目,10:00　　　　17:00,,,水洗式,,1,1,1,,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,,,,,手動式,,,,,,,熊野古道大辺路高野坂,,,,,,,,,,,,,,
414,神倉神社,新宮市,新宮市神倉1-13-8,終日,6,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,熊野速玉大社,,,,,,,,,,,,,,
415,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,阿須賀神社,新宮市,新宮市阿須賀1-25-25,終日,6,,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,"徐福公園
熊野速玉大社
丹鶴城",,,,,,,,,,,,,,
417,JR新宮駅公衆トイレ,新宮市,新宮市徐福2-1-1,5:00　　　　　23:30,,,水洗式,,2,3,,2,,,,1,,,,,,,,,,,,手動式,,,,,,,"徐福公園
熊野速玉大社
丹鶴城",,,,,,,,,,,,,,
418,JR三輪崎駅公衆トイレ,新宮市,新宮市三輪崎1-5-30,終日,,,汲み取り式,,,,,,,1,,,,,,,,,,,,,,手動式,,,,,,,熊野古道大辺路高野坂,,,,,,,,,,,,,,
419,JR佐野駅公衆トイレ,新宮市,新宮市佐野3-9-2,終日,8,,汲み取り式,,,1,,,,2,,,,,,,,,,,,,,手動式,,,,,,,熊野古道大辺路高野坂,駐車場は有料,,,,,,,,,,,,,
420,玉置口瀞の郷公衆トイレ,新宮市,新宮市熊野川町玉置口7-1,終日,25,,水洗式,,2,3,,3,,,,,,,,,,,,,,,,手動式,,,○,,,,瀞峡川舟下り,,,,,,,,,,,,,,
421,旧小口小学校,新宮市,新宮市熊野川町上長井458,終日,,,水洗式,,,4,,,1,5,,,,,,,,,,,,,,手動式,,,,,,,熊野古道大雲・小雲取越,洋式トイレに手すり有,,,,,,,,,,,,,
422,赤木公衆トイレ,新宮市,新宮市熊野川町赤木,終日,7,,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,手動式,,,,,,,熊野古道赤木越え,,,,,,,,,,,,,,
423,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,孔島公衆トイレ,新宮市,新宮市三輪崎,終日,,,汲み取り式,,1,3,,2,,,,,,,,,,,,,,,,手動式,,,,,,,厳島神社,車での進入は不可能,,,,,,,,,,,,,
426,那智山表参道公衆トイレ,那智勝浦町,那智勝浦町那智山137,終日,,,水洗式,,1,3,,2,,,,,,○,○,レバー式,,引き戸式,2×2.1,向かって左から,,,,光感知式,,,,,,○,"熊野那智大社
那智山青岸渡寺",,,,,,,,,,,,,,
427,那智山滝前公衆トイレ,那智勝浦町,那智勝浦町那智山3-15,終日,4,1,水洗式,,1,3,,2,,,,,,○,○,レバー式,○,引き戸式,2.5×1.9,向かって左から,,,,光感知式,,,,,,,那智の滝,,,,,,,,,,,,,,
428,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,大門坂駐車場公衆トイレ,那智勝浦町,那智勝浦町市野々3034-2,終日,40,2,水洗式,1,1,3,2,2,,,,,,○,○,手動式,○,引き戸式,2.6×2.6,向かって左から,,,○,光感知式,,○,,○,○,○,熊野古道大門坂,障害者用以外の蛇口は押しボタン,,,,,,,,,,,,,
430,那智ふれあい公園公衆トイレ,那智勝浦町,那智勝浦町市野々3964-2,終日,5,,水洗式,,1,2,,2,,,,,,○,○,,,引き戸式,2.2×2.3,向かって左から,,,,手動式,,○,,,,○,那智参詣道,,,,,,,,,,,,,,
431,朝日公園公衆トイレ（若者広場）,那智勝浦町,那智勝浦町朝日3-136,終日,,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,朝日公園,,,,,,,,,,,,,,
432,天満球場旧公衆トイレ,那智勝浦町,那智勝浦町天満1785,終日,10,2,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,"天満球場（町営野球場）
テニスコート",,,,,,,,,,,,,,
433,木戸浦ゲートボール場公衆トイレ,那智勝浦町,那智勝浦町天満字木戸浦,終日,,,水洗式,1,,1,1,,,,,,,,,,,,,,,,,手動式,,○,,,,,スポーツ用グラウンド,,,,,,,,,,,,,,
434,バースハウス公衆トイレ（ブルービーチ那智）,那智勝浦町,那智勝浦町浜ノ宮100-1,終日,100,,水洗式,,1,2,,2,,,,,,○,○,レバー式,○,引き戸式,2.2×2.0,向かって右から,,,,光感知式,,,,,,,ブルービーチ那智,,,,,,,,,,,,,,
435,ＪＲ紀伊勝浦駅前公衆トイレ,那智勝浦町,那智勝浦町築地,終日,,,水洗式,,2,3,,2,,,,,,○,○,手動式,○,引き戸式,2.0×2.9,向かって右から,,,,光感知式,,,,,,,"ＪＲ紀伊勝浦駅
足湯",,,,,,,,,,,,,,
436,海乃湯公衆トイレ(足湯),那智勝浦町,那智勝浦町築地7-1181-442,終日,,,水洗式,1,,1,1,,,,,,,○,○,光感知式,○,引き戸式,男2.3×2.1　女2.5×2.2,前方・右から,,,,光感知式,,○,,,,,"勝浦漁港
足湯",,,,,,,,,,,,,,
437,バスターミナル公衆トイレ,那智勝浦町,那智勝浦町築地2-3-30,終日,30,,水洗式,,1,3,,3,,,,,,○,○,手動式,○,引き戸式,2.0×2.5,向かって右から,,,,光感知式,,○,○,,,,紀の松島めぐり,有料駐車場,,,,,,,,,,,,,
438,渡の島公衆トイレ,那智勝浦町,那智勝浦町勝浦485-12,終日,100,,水洗式,,1,2,,2,,,,,,○,○,手動式,,引き戸式,1.8×1.8,向かって右から,,,,光感知式,,,,,,,"紀の松島めぐり
観光桟橋",,,,,,,,,,,,,,
439,下里天満海岸新公衆トイレ,那智勝浦町,那智勝浦町下里,終日,5,,水洗式,,,1,,,,1,,,,○,○,レバー式,○,引き戸式,2.3×2.2,前方・左から,,,,光感知式,,,,,,,"下里天満海岸
（サーフィンスポット）",,,,,,,,,,,,,,
440,下里天満海岸公衆トイレ,那智勝浦町,那智勝浦町下里,終日,2,,汲み取り式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,"下里天満海岸
（サーフィンスポット）",,,,,,,,,,,,,,
441,大戸平公衆トイレ,那智勝浦町,那智勝浦町口色川,終日,5,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,手動式,,,,,,,那智高原公園,,,,,,,,,,,,,,
442,地蔵茶屋公衆トイレ,那智勝浦町,那智勝浦町口色川3796-1,終日,3,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,○,,,,,熊野古道大雲取越,,,,,,,,,,,,,,
443,那智駅交流センター,那智勝浦町,那智勝浦町浜ノ宮361-2,8:30　　　　　　22:00,30,1,水洗式,1,1,3,1,2,,,,,,○,○,レバー式,○,引き戸式,1.9×2.1,向かって右から,,,,光感知式,,○,○,○,,○,"ブルービーチ那智
補陀洛山寺",,,,,,,,,,,,,,
444,JR那智駅公衆トイレ,那智勝浦町,那智勝浦町浜の宮,終日,30,1,水洗式,,,,,,1,,,,,,,,,,,,,,,手動式,,,,,,,"ブルービーチ那智
補陀洛山寺",,,,,,,,,,,,,,
445,ＪＲ宇久井駅公衆トイレ,那智勝浦町,那智勝浦町宇久井62-4,終日,3,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,宇久井半島,,,,,,,,,,,,,,
446,ＪＲ湯川駅公衆トイレ,那智勝浦町,那智勝浦町湯川1596-16,終日,3,,水洗式,,,3,,2,,,,,,,,,,,,,,,,手動式,,,,,,,"ゆかし潟
湯川海水浴場",,,,,,,,,,,,,,
447,ＪＲ下里駅公衆トイレ,那智勝浦町,那智勝浦町下里662,終日,3,,水洗式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,ぶつぶつ川,,,,,,,,,,,,,,
448,ＪＲ浦神駅公衆トイレ,那智勝浦町,那智勝浦町浦神375-6,終日,3,,水洗式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,熊野古道大辺路,,,,,,,,,,,,,,
449,市屋,那智勝浦町,那智勝浦町市屋,終日,,,水洗式,,1,,,1,,,,,,,,,,,,,,,,手動式,,○,,,,,熊野古道大辺路,,,,,,,,,,,,,,
450,宇久井ビジターセンター,那智勝浦町,那智勝浦町宇久井830,終日,20,,水洗式,1,,2,1,1,,,,,,○,○,光感知式,○,引き戸式,2.6×2.3,前方・右から,○,,○,光感知式,,,○,,○,○,,水曜定休日,,,,,,,,,,,,,
451,円満地公園公衆トイレ,那智勝浦町,那智勝浦町大野216,終日,10,,水洗式,,3,4,,6,,,,,,,,,,,,,,,,手動式,,○,○,○,,,オートキャンプ場,,,,,,,,,,,,,,
452,那智大社社務所横公衆トイレ,那智勝浦町,那智勝浦町那智山,7:00　　　　　17:00,,,水洗式,1,,2,1,1,,,,,,○,○,手動式,○,引き戸式,1.6×1.3,前方・左から,,,,手動式,,,○,,,,熊野那智大社,,,,,,,,,,,,,,
453,那智大社境内公衆トイレ,那智勝浦町,那智勝浦町那智山,7:00　　　　　17:00,,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,熊野那智大社,,,,,,,,,,,,,,
454,那智の滝ふもと公衆トイレ,那智勝浦町,那智勝浦町那智山,終日,,,水洗式,1,1,3,1,2,,,,,,,,,,,,,,,,光感知式,,,,,,,那智の滝,,,,,,,,,,,,,,
455,青岸渡寺公衆トイレ（駐車場）,那智勝浦町,那智勝浦町那智山,終日,98,2,水洗式,1,2,3,1,3,,,,,,○,○,レバー式,○,引き戸式,2.5×2.5,向かって左から,,,,光感知式,,,,,,○,那智山青岸渡寺,,,,,,,,,,,,,,
456,那智山・熊野交通（駐車場）,那智勝浦町,那智勝浦町那智山442-2,8:00　　　　　16:30,38,,水洗式,,3,5,1,4,,,,,,,,,,,,,,,,光感知式,,,,,,,那智山,有料駐車場,,,,,,,,,,,,,
457,JR太地駅公衆トイレ,太地町,太地町森浦241-1,終日,2,,水洗式,1,,2,2,,,,,,3,○,○,手動式,○,引き戸式,2.5×2.05,前方から,○,,,光感知式,○,,○,○,,○,,,,,,,,,,,,,,,
458,常渡公衆トイレ,太地町,太地町太地2904-2,終日,5,,水洗式,2,,4,4,,,,,,6,○,○,手動式,,引き戸式,2.3×2.3,前方から,○,,,光感知式,○,,,,,○,くじらの博物館,,,,,,,,,,,,,,
459,くじら浜海水浴場公衆トイレ,太地町,太地町太地2944-9,終日,3,,水洗式,1,1,3,1,3,,,,,,,,,,,,,,,,光感知式,,,,,,,くじら浜海水浴場,,,,,,,,,,,,,,
460,暖海公園公衆トイレ,太地町,太地町太地3769-38,終日,1,,水洗式,,,1,,1,,,,,,,,,,,,,,,,手動式,,,,,,,暖海公園,,,,,,,,,,,,,,
461,太地漁港公衆トイレ,太地町,太地町太地,終日,2,1,水洗式,1,1,3,1,2,,,,,,,○,手動式,○,引き戸式,2.0×1.65,向かって右から,,,,光感知式,○,,,,,,,,,,,,,,,,,,,,
462,太地公園公衆トイレ,太地町,太地町太地571-1,終日,1,,水洗式,,1,1,,1,,,,,,,○,手動式,,,,,,,,光感知式,,,,,,,太地公園,,,,,,,,,,,,,,
463,燈明崎公園公衆トイレ,太地町,太地町太地153-3,終日,3,,水洗式,,1,1,,1,,,,,,,○,手動式,,,,,,,,光感知式,,,,,,,燈明崎公園,,,,,,,,,,,,,,
464,燈明崎公衆トイレ,太地町,太地町太地115-5,終日,3,,汲み取り式,,1,2,,2,,,,,,,○,手動式,,引き戸式,1.9×1.5,前方から,,,,手動式,,,,,,,燈明崎園地,,,,,,,,,,,,,,
465,梶取崎公衆トイレ,太地町,太地町太地1430-1,終日,3,,水洗式,,2,3,1,3,,,,,,○,○,手動式,,引き戸式,1.9×2.1,向かって右から,,,,光感知式,,,,,,○,梶取崎公園,,,,,,,,,,,,,,
466,平見台園地公衆トイレ,太地町,太地町太地1770-30,終日,3,,水洗式,1,,2,2,,,,,,3,○,○,手動式,○,引き戸式,1.9×2.35,前方から,○,,,光感知式,○,,○,,,○,平見台園地,,,,,,,,,,,,,,
467,佐田さくらの公衆トイレ,古座川町,古座川町佐田439,終日,50,,水洗式,,2,2,,2,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.3,前方・右から,,,,レバー式,,,,,,,"日本桜百選「佐田の桜」
七川ダム湖",,,,,,,,,,,,,,
468,一枚岩公衆トイレ,古座川町,古座川町相瀬286-1,終日,6,,水洗式,,1,4,,3,,,,,,○,○,"押ボタン式
足踏式",,外開き式,1.5×1.8,前方・右から,,,,レバー式,,,,,,,"一枚岩
（国指定天然記念物）",,,,,,,,,,,,,,
469,道の駅「一枚岩」公衆トイレ,古座川町,古座川町相瀬290-2,終日,18,2,水洗式,1,,2,1,1,,,,,2,○,○,"光感知式
押ボタン式",○,引き戸式,2.4×2.5,前方・左から,○,,○,光感知式,○,,○,○,,,"一枚岩
（国指定天然記念物）",,,,,,,,,,,,,,
470,滝の拝橋公衆トイレ,古座川町,古座川町小川,終日,10,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,滝の拝,,,,,,,,,,,,,,
471,月野瀬公衆トイレ,古座川町,古座川町月野瀬139,終日,50,,水洗式,,2,3,,3,,,,,,○,○,くつべら式,○,引き戸式,2.0×2.0,前方・左から,,,,レバー式,,,○,,,,"清流古座川
少女峰",,,,,,,,,,,,,,
472,小松口園地公衆トイレ,北山村,北山村小松114-2,終日,30,1,水洗式,,1,3,1,2,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・右・左から,,,,光感知式,,,,,,,"北山川観光筏下り
ラフティング",,,,,,,,,,,,,,
473,オトノリ園地公衆トイレ,北山村,北山村下尾井715-3,終日,10,1,水洗式,,1,2,,3,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,"北山川観光筏下り
ラフティング",,,,,,,,,,,,,,
474,道の駅「おくとろ」公衆トイレ,北山村,北山村下尾井335,終日,125,1,水洗式,1,2,5,1,5,,,,,,○,○,レバー式,○,引き戸式,2.0×2.0,前方・右・左から,○,,,光感知式,,,,,,○,キャンプ場、温泉、売店、レストランなどの観光拠点,,,,,,,,,,,,,,
475,七色公園公衆トイレ,北山村,北山村七色356,終日,30,1,水洗式,,2,3,,3,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方・右・左から,,,,光感知式,,,,,,○,公園内にオートキャンプ場あり,,,,,,,,,,,,,,
476,樫野駐車場公衆トイレ,串本町,串本町樫野,終日,89,4,水洗式,1,1,4,,4,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,向かって右から,,,,光感知式,,,,,,,トルコ記念館,,,,,,,,,,,,,,
477,樫野埼灯台前公衆トイレ,串本町,串本町樫野,終日,,,水洗式,,1,1,,1,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,,光感知式,,,,,,,トルコ記念館,,,,,,,,,,,,,,
478,日米館駐車場公衆トイレ,串本町,串本町樫野,終日,17,,水洗式,,1,3,,3,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,日米修交記念館,,,,,,,,,,,,,,
479,ポケットパーク公衆トイレ,串本町,串本町大島385-1,終日,5,1,水洗式,,1,1,,1,,,,,,○,,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,光感知式,,,,,,,,,,,,,,,,,,,,,
480,潮岬灯台前公衆トイレ,串本町,串本町潮岬御岬2876-1,終日,40,,水洗式,,1,3,,3,,,,,,○,,押ボタン式,,引き戸式,2.0×2.0,向かって左から,,,,手動式,,,,,,,潮岬望楼の芝,,,,,,,,,,,,,,
481,潮岬観光タワー横公衆トイレ,串本町,串本町潮岬楠平見2706-30,終日,30,,水洗式,,2,3,,3,,,,,,○,,押ボタン式,,引き戸式,2.0×2.0,向かって左から,,,,手動式,,,,,,,潮岬望楼の芝,,,,,,,,,,,,,,
482,馬坂園地公衆トイレ,串本町,串本町串本字片江生1727-1,終日,17,,水洗式,,1,2,,3,,,,,,○,,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,手動式,,,,,,,潮岬望楼の芝,,,,,,,,,,,,,,
483,橋杭園地公衆トイレ,串本町,串本町串本2000-12,終日,50,,水洗式,,2,4,,4,,,,,,,,,,,,,,,,手動式,,,,,,,橋杭岩,,,,,,,,,,,,,,
484,橋杭海水浴場売店公衆トイレ,串本町,串本町鬮野川1597,9：00　　　　　17：00　　　,100,1,水洗式,,2,5,,6,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,手動式,,,,,,,橋杭岩,,,,,,,,,,,,,,
485,橋杭立岩公衆トイレ,串本町,串本町鬮野川1582,終日,50,,水洗式,,2,7,1,7,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,光感知式,,,,,,,橋杭岩,,,,,,,,,,,,,,
486,あらふね公衆トイレ,串本町,串本町田原,終日,34,,水洗式,,1,2,,3,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,手動式,,,,,,,,,,,,,,,,,,,,,
487,重畳山公衆トイレ,串本町,串本町神野川字西谷579-1,終日,4,,水洗式,,1,3,,2,,,,,,○,○,押ボタン式,,引き戸式,2.0×2.0,前方・左から,,,,手動式,○,,,,,,,,,,,,,,,,,,,,
489,御手洗池公衆トイレ,和歌山市,和歌山市和歌浦西２丁目,終日,,,水洗式,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,親子つりパーク公衆トイレ,和歌山市,和歌山市田野１０１番３,終日,,,水洗式,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,浪早ビーチ公衆トイレ,和歌山市,和歌山市田野,"7時～18時（4月）6時～19時（5-8月）
7時～18時（9・10月）8時～17時（11-3月）",92,,水洗式,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,浜の宮ビーチ公衆トイレ①,和歌山市,和歌山市毛見,終日,,,水洗式,,2,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,やどり温泉いやしの湯,橋本市,橋本市北宿5,11時～21時,11,1,水洗式,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,紀望の里,橋本市,橋本市高野口町大野1807-1,10時～21時,27,2,水洗式,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,せせらぎ公園公衆トイレ,橋本市,橋本市高野口町名倉191先外,終日,,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,農業ふれあい公園公衆トイレ,橋本市,橋本市岸上106-3,終日,46,1,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,万葉の里まつち公衆トイレ,橋本市,橋本市隅田町真土292-1,終日,,,水洗式,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,丹生川駐車場公衆トイレ（南）,九度山町,九度山町丹生川246-1,終日,15,1,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,九度山町営駐車場公衆トイレ,九度山町,九度山町九度山,8時～18時,30,1,水洗式,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,九度山駅公衆トイレ,九度山町,九度山町九度山,終日,2,,水洗式,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,島ノ瀬ダム公衆トイレ,みなべ町,みなべ町東神野川1641-3,終日,4,1,水洗式,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,小目津公園トイレ,みなべ町,みなべ町山内,終日,20,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,目津トイレ,みなべ町,みなべ町山内,終日,20,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,天神崎元島防波堤前公衆トイレ,田辺市,田辺市目良１５００－３,終日,25,1,水洗式,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,天神崎丸山灯台前公衆トイレ,田辺市,田辺市天神崎１４６２,終日,,,水洗式,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,三川公衆トイレ,田辺市,田辺市合川６３７－１６,終日,2,,水洗式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,綱不知公園公衆トイレ,白浜町,白浜町1162-48,終日,1,,水洗式,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,臨海浦公衆トイレ,白浜町,白浜町3603,終日,,,水洗式,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,臨海公衆トイレ,白浜町,白浜町508,終日,50,,水洗式,,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,つくもと公衆トイレ,白浜町,白浜町3079-20,終日,,,水洗式,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,JR紀伊日置駅公衆トイレ,白浜町,白浜町矢田159-2,終日,10,2,水洗式,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,JR椿駅公衆トイレ,白浜町,白浜町椿330-4,終日,10,,水洗式,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,道の駅 志原海岸公衆トイレ,白浜町,白浜町日置2039-73,終日,60,4,水洗式,1,1,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,江津良公衆トイレ,白浜町,白浜町　（江津良海水浴場内）,終日,,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,白鳥公園公衆トイレ,白浜町,白浜町十九渕274-5,終日,,,水洗式,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,道の駅なち公衆トイレ,那智勝浦町,那智勝浦町浜の宮361-2,終日,30,1,水洗式,1,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,夏山園地公衆便所,太地町,太地町太地2904－1,終日,1,1,水洗式,1,,2,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,太地漁港施設内公衆便所,太地町,太地町太地3393－4,終日,,,水洗式,1,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,浜の宮ビーチ公衆トイレ②,和歌山市,和歌山市毛見,終日,,,水洗式,,2,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,浜の宮ビーチ公衆トイレ③,和歌山市,和歌山市毛見,終日,,,水洗式,,2,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
